id_depto,depto,prov_id,prov,año,evento,edad_id,edad_desc,semanas,cantidad
22140,San Fernando,22,Chaco,2023,Dengue,7,De 15 a 19 años,47,4
22084,Libertador General San Martín,22,Chaco,2023,Dengue,9,De 25 a 34 años,46,6
22133,Quitilipi,22,Chaco,2023,Dengue,10,De 35 a 44 años,38,3
54063,Iguazú,54,Misiones,2023,Dengue,5,De 5 a 9 años,35,1
06427,La Matanza,06,Buenos Aires,2023,Dengue,10,De 35 a 44 años,50,1
94014,Ushuaia,94,Tierra del Fuego,2023,Dengue,9,De 25 a 34 años,47,1
22154,Sargento Cabral,22,Chaco,2023,Dengue,10,De 35 a 44 años,38,1
22084,Libertador General San Martín,22,Chaco,2023,Dengue,8,De 20 a 24 años,46,1
22133,Quitilipi,22,Chaco,2023,Dengue,10,De 35 a 44 años,45,3
22084,Libertador General San Martín,22,Chaco,2023,Dengue,12,Mayores de 65 años,50,24
22147,San Lorenzo,22,Chaco,2023,Dengue,10,De 35 a 44 años,48,1
34049,Pilcomayo,34,Formosa,2023,Dengue,11,De 45 a 65 años,52,17
22063,General Güemes,22,Chaco,2023,Dengue,6,De 10 a 14 años,49,4
22147,San Lorenzo,22,Chaco,2023,Dengue,8,De 20 a 24 años,51,2
22112,O'Higgins,22,Chaco,2023,Dengue,10,De 35 a 44 años,43,2
34014,Formosa,34,Formosa,2023,Dengue,8,De 20 a 24 años,34,1
22154,Sargento Cabral,22,Chaco,2023,Dengue,10,De 35 a 44 años,45,3
66140,Rosario de la Frontera,66,Salta,2023,Dengue,9,De 25 a 34 años,44,1
22168,25 de Mayo,22,Chaco,2023,Dengue,7,De 15 a 19 años,45,2
22126,1a de Mayo,22,Chaco,2023,Dengue,11,De 45 a 65 años,45,3
22140,San Fernando,22,Chaco,2023,Dengue,8,De 20 a 24 años,32,4
22021,Comandante Fernández,22,Chaco,2023,Dengue,5,De 5 a 9 años,48,3
22154,Sargento Cabral,22,Chaco,2023,Dengue,9,De 25 a 34 años,44,2
14014,Capital,14,Córdoba,2023,Dengue,11,De 45 a 65 años,46,1
34035,Patiño,34,Formosa,2023,Dengue,6,De 10 a 14 años,52,3
34035,Patiño,34,Formosa,2023,Dengue,8,De 20 a 24 años,40,1
54098,San Ignacio,54,Misiones,2023,Dengue,11,De 45 a 65 años,50,4
06410,Ituzaingó,06,Buenos Aires,2023,Dengue,11,De 45 a 65 años,49,1
34049,Pilcomayo,34,Formosa,2023,Dengue,12,Mayores de 65 años,40,1
22021,Comandante Fernández,22,Chaco,2023,Dengue,10,De 35 a 44 años,42,2
14161,Tercero Arriba,14,Córdoba,2023,Dengue,11,De 45 a 65 años,52,2
54028,Capital,54,Misiones,2023,Dengue,7,De 15 a 19 años,37,1
86070,Figueroa,86,Santiago del Estero,2023,Dengue,8,De 20 a 24 años,41,1
22168,25 de Mayo,22,Chaco,2023,Dengue,7,De 15 a 19 años,38,1
18021,Capital,18,Corrientes,2023,Dengue,12,Mayores de 65 años,44,1
22133,Quitilipi,22,Chaco,2023,Dengue,7,De 15 a 19 años,40,1
78028,Lago Argentino,78,Santa Cruz,2023,Dengue,10,De 35 a 44 años,51,1
18112,Monte Caseros,18,Corrientes,2023,Dengue,8,De 20 a 24 años,51,1
34056,Pirané,34,Formosa,2023,Dengue,7,De 15 a 19 años,49,2
54084,Montecarlo,54,Misiones,2023,Dengue,10,De 35 a 44 años,45,1
22168,25 de Mayo,22,Chaco,2023,Dengue,5,De 5 a 9 años,32,1
18021,Capital,18,Corrientes,2023,Dengue,6,De 10 a 14 años,51,13
22154,Sargento Cabral,22,Chaco,2023,Dengue,11,De 45 a 65 años,51,8
06638,Pilar,06,Buenos Aires,2023,Dengue,10,De 35 a 44 años,44,1
22168,25 de Mayo,22,Chaco,2023,Dengue,12,Mayores de 65 años,49,7
34007,Bermejo,34,Formosa,2023,Dengue,6,De 10 a 14 años,42,1
34056,Pirané,34,Formosa,2023,Dengue,9,De 25 a 34 años,41,1
